NAME,TAXONNO,TAXON,NATIVE,HYBRID,ID,Major_group,Family,Genus_hybrid_marker,Genus,Species_hybrid_marker,Infraspecific_rank,Infraspecific_epithet,Authorship,Taxonomic_status_in_TPL,Nomenclatural_status_original,Confidence_level,Source,Source_id,IPNI_id,Publication,Collation,Page,Date,SppID
Abies alba,896,0920  2395,AN,,kew-2609691,G,Pinaceae,,Abies,,,,Mill.,Accepted,,H,WCSP,381621,,Gard. Dict. ed. 7,"110, 2",,1759,265308
Abies grandis,897,0920  2396,AN,,kew-2609877,G,Pinaceae,,Abies,,,,(Douglas ex D.Don) Lindl.,Accepted,,H,WCSP,381804,1033427-2,Penny Cyclop.,1: 30,,1833,265327
Abies procera,898,0920  2397,AN,,kew-2610049,G,Pinaceae,,Abies,,,,Rehder,Accepted,,H,WCSP,381974,676607-1,Rhodora,42: 522,,1940,265345
Abutilon theophrasti,899,0920  2418,AC,,kew-2611008,A,Malvaceae,,Abutilon,,,,Medik.,Accepted,,L,WCSP (in review),743415,1044174-2,Malvenfam.,28,,1787,203722
Acaena novae-zelandiae,904,0920  2527,AN,,rjp-36,A,Rosaceae,,Acaena,,,,Kirk,Accepted,,H,RJP,36,720063-1,,; 1871,177,1871,303177
Acanthus mollis,7008,0920     2,AN,,kew-2615276,A,Acanthaceae,,Acanthus,,,,L.,Accepted,,M,WCSP (in review),747681,44892-1,Sp. Pl.,639,,1753,38
Acer campestre,907,0920     3,N,,kew-2615447,A,Sapindaceae,,Acer,,,,L.,Accepted,,M,WCSP (in review),747851,781250-1,Sp. Pl.,1055,,1753,325848
Acer cappadocicum,10172,0920  7132,AN,,kew-2615475,A,Sapindaceae,,Acer,,,,Gled.,Accepted,,M,WCSP (in review),747879,,Schriften Berlin. Ges. Naturf. Freunde,6: 116,,1785,325850
Acer negundo,10173,0920  7133,AN,,kew-2616024,A,Sapindaceae,,Acer,,,,L.,Accepted,,M,WCSP (in review),748414,781412-1,Sp. Pl.,1056,,1753,325923
Acer platanoides,908,0920     4,AN,,kew-2616254,A,Sapindaceae,,Acer,,,,L.,Accepted,,M,WCSP (in review),748642,781455-1,Sp. Pl.,1055,,1753,325942
Acer pseudoplatanus,909,0920     5,AN,,kew-2616276,A,Sapindaceae,,Acer,,,,L.,Accepted,,M,WCSP (in review),748664,781462-1,Sp. Pl.,1054,,1753,325945
Acer saccharinum,6773,0920  5387,AN,,kew-2616367,A,Sapindaceae,,Acer,,,,L.,Accepted,,M,WCSP (in review),748754,1892-2,Sp. Pl.,1055,,1753,325955
Aceras anthropophorum,910,0920     6,N,,,,,,,,,,,,,,,,,,,,,
Achillea millefolium,912,0920     7,N,,gcc-140712,A,Compositae,,Achillea,,,,L.,Accepted,,M,TICA,40160FE1-53D5-4C15-9595-F5B87A104673,2294-2,Sp. Pl. 2,,899,1753,72343
Achillea ptarmica,914,0920     9,N,,gcc-132682,A,Compositae,,Achillea,,,,L.,Accepted,,M,TICA,991805AE-E8DB-4851-87D0-E3CE4469B956,2336-2,Sp. Pl.,,898,1753,72363
Aconitum napellus s.l.,62759,0920  3305,NA,,,,,,,,,,,,,,,,,,,,,
Acorus calamus,921,0920    15,AN,,kew-2304,A,Acoraceae,,Acorus,,,,L.,Accepted,,H,WCSP,2304,84009-1,Sp. Pl.,324,,1753,4060
Actaea spicata,6979,0920    16,N,,kew-2620577,A,Ranunculaceae,,Actaea,,,,L.,Accepted,,M,WCSP (in review),752949,303913-2,Sp. Pl.,504,,1753,299151
Adiantum capillus-veneris,7011,0910    17,N,,tro-26602671,P,Pteridaceae,,Adiantum,,,,L.,Accepted,,M,TRO,26602671,17009280-1,Sp. Pl.,2: 1096,1096,1753,296469
Adonis annua,922,0920    18,AR,,kew-2623065,A,Ranunculaceae,,Adonis,,,,L.,Accepted,,M,WCSP (in review),755422,708062-1,Sp. Pl.,547,,1753,299159
Adoxa moschatellina,923,0920    19,N,,kew-2623230,A,Adoxaceae,,Adoxa,,,,L.,Accepted,,M,WCSP (in review),755586,148240-1,Sp. Pl.,367,,1753,4302
Aegopodium podagraria,924,0920    20,AR,,kew-2623499,A,Apiaceae,,Aegopodium,,,,L.,Accepted,,M,WCSP (in review),755855,837329-1,Sp. Pl.,265,,1753,15875
Aesculus carnea,925,0920  2420,AN,,,,,,,,,,,,,,,,,,,,,
Aesculus hippocastanum,926,0920  2241,AN,,kew-2624517,A,Sapindaceae,,Aesculus,,,,L.,Accepted,,M,WCSP (in review),756868,781594-1,Sp. Pl.,344,,1753,326007
Aethusa cynapium,927,0920    21,NA,,kew-2624785,A,Apiaceae,,Aethusa,,,,L.,Accepted,,M,WCSP (in review),757136,837341-1,Sp. Pl.,256,,1753,15877
Agrimonia eupatoria,931,0920    22,N,,rjp-408,A,Rosaceae,,Agrimonia,,,,L.,Accepted,,L,RJP,408,316550-2,"Species plantarum, edition 1","Species plantarum, edition 1; 1753",448,1753,303194
Agrimonia procera,933,0920    23,N,,rjp-390,A,Rosaceae,,Agrimonia,,,,Wallr.,Accepted,,H,RJP,390,720304-1,Erster Beitrag zur Flora hercynica,Erster Beitrag zur Flora hercynica; 1840,203,1840,303203
Agrostemma githago,946,0920    34,AR,,kew-2626726,A,Caryophyllaceae,,Agrostemma,,,,L.,Accepted,,M,WCSP (in review),759050,95561-3,Sp. Pl.,435,,1753,64478
Agrostis canina,948,0920    35.2,N,,kew-389335,A,Poaceae,,Agrostis,,,,L.,Accepted,,H,WCSP,389335,385537-1,Sp. Pl.,62,,1753,271514
Agrostis capillaris,953,0920    40,N,,kew-387729,A,Poaceae,,Agrostis,,,,L.,Accepted,,H,WCSP,387729,30197865-2,Sp. Pl.,62,,1753,271515
Agrostis castellana,10568,0920  7141,AN,,kew-387742,A,Poaceae,,Agrostis,,,,Boiss. & Reut.,Accepted,,H,WCSP,387742,271894-2,Diagn. Pl. Nov. Hisp.,26,,1842,271517
Agrostis curtisii,957,0920    38,N,,kew-389458,A,Poaceae,,Agrostis,,,,Kerguélen,Accepted,,H,WCSP,389458,385626-1,Lejeunia,75(Err. & Corr.): 1,,1975,271524
Agrostis gigantea,958,0920    36,AR,,kew-389634,A,Poaceae,,Agrostis,,,,Roth,Accepted,,L,WCSP,389634,385783-1,Tent. Fl. Germ.,1: 31,,1788,271549
Agrostis stolonifera,963,0920    39,N,,kew-390383,A,Poaceae,,Agrostis,,,,L.,Accepted,,H,WCSP,390383,386353-1,Sp. Pl.,62,,1753,271670
Agrostis vinealis,965,0920    35.1,N,,kew-390633,A,Poaceae,,Agrostis,,,,Schreb.,Accepted,,L,WCSP,390633,386503-1,Spic. Fl. Lips.,47,,1771,271702
Ailanthus altissima,967,0920  4411,AN,,kew-2626815,A,Simaroubaceae,,Ailanthus,,,,(Mill.) Swingle,Accepted,,M,WCSP (in review),759137,813521-1,J. Wash. Acad. Sci.,6: 495,,1916,334009
Aira caryophyllea,968,0920    41,N,,kew-390804,A,Poaceae,,Aira,,,,L.,Accepted,,L,WCSP,390804,386633-1,Sp. Pl.,66,,1753,271716
Aira praecox,971,0920    42,N,,kew-391043,A,Poaceae,,Aira,,,,L.,Accepted,,H,WCSP,391043,386818-1,Sp. Pl.,65,,1753,271720
Ajuga chamaepitys,7013,0920    43,NA,,kew-5197,A,Lamiaceae,,Ajuga,,,,(L.) Schreb.,Accepted,,H,WCSP,5197,444546-1,Pl. Verticill. Unilab. Gen. Sp.,24,,1774,158187
Ajuga pyramidalis,973,0920    45,N,,kew-5370,A,Lamiaceae,,Ajuga,,,,L.,Accepted,,H,WCSP,5370,444657-1,Sp. Pl.,561,,1753,158227
Ajuga reptans,975,0920    46,N,,kew-5385,A,Lamiaceae,,Ajuga,,,,L.,Accepted,,H,WCSP,5385,444664-1,Sp. Pl.,561,,1753,158229
Alcea rosea,977,0920    88,AN,,kew-2627710,A,Malvaceae,,Alcea,,,,L.,Accepted,,M,WCSP (in review),760031,558713-1,Sp. Pl.,687,,1753,203845
Alchemilla acutiloba,978,0920    47,N,,rjp-532,A,Rosaceae,,Alchemilla,,,,Opiz,Accepted,,L,RJP,532,,Oekonomisch-technische Flora B”hmens,Oekonomisch-technische Flora B”hmens; 1836,15,1838,303218
Alchemilla alpina,7014,0920    48,N,,rjp-28,A,Rosaceae,,Alchemilla,,,,L.,Accepted,,H,RJP,28,720359-1,"Species plantarum, edition 1","Species plantarum, edition 1; 1753",123,1753,303230
Alchemilla conjuncta,979,0920    49,AN,,rjp-29,A,Rosaceae,,Alchemilla,,,,Bab.,Accepted,,H,RJP,29,720481-1,,; 1842,25,1842,303330
Alchemilla glabra,983,0920    51,N,,rjp-1095,A,Rosaceae,,Alchemilla,,,,Neygenf.,Accepted,,H,RJP,1095,,"Enchiridium botanicum, continens Plantas Silesiae indigenas","Enchiridium botanicum, continens Plantas Silesiae indigenas; 1821",67,1821,303435
Alchemilla glaucescens,984,0920    54,N,,rjp-30,A,Rosaceae,,Alchemilla,,,,Wallr.,Accepted,,L,RJP,30,,,; 1840,134,1840,303439
Alchemilla glomerulans,985,0920    52,N,,rjp-1255,A,Rosaceae,,Alchemilla,,,,Buser,Accepted,,H,RJP,1255,721128-1,,; 1893,30,1893,303440
Alchemilla micans,63025,0920  2552,N,,rjp-6335,A,Rosaceae,,Alchemilla,,,,Buser,Accepted,,H,RJP,6335,721139-1,,; 1893,28,1893,303567
Alchemilla minima,987,0920    53,N,,,,,,,,,,,,,,,,,,,,,
Alchemilla mollis,988,0920  2255,AN,,rjp-970,A,Rosaceae,,Alchemilla,,,,(Buser) Rothm.,Accepted,,L,RJP,970,720776-1,,; 1934,347,1934,303576
Alchemilla monticola,989,0920    55,N,,rjp-617,A,Rosaceae,,Alchemilla,,,,Opiz,Accepted,,L,RJP,617,20011043-1,Oekonomisch-technische Flora B”hmens,Oekonomisch-technische Flora B”hmens; 1836,13,1838,303578
Alchemilla subcrenata,990,0920    56,N,,rjp-343,A,Rosaceae,,Alchemilla,,,,Buser,Accepted,,H,RJP,343,,,; 1893,"285, no.2992",1893,303740
Alchemilla wichurae,992,0920    59,N,,rjp-1096,A,Rosaceae,,Alchemilla,,,,(Buser) Stef nsson,Accepted,,H,RJP,1096,,Fl¢ra Islands,Fl¢ra Islands; 1901,135,1901,303801
Alchemilla xanthochlora,993,0920    60,N,,rjp-1211,A,Rosaceae,,Alchemilla,,,,Rothm.,Accepted,,L,RJP,1211,721091-1,,; 1937,167,1937,303804
Alisma gramineum,994,0920    61,N,,kew-294793,A,Alismataceae,,Alisma,,,,Lej.,Accepted,,H,WCSP,294793,77097302-1,Fl. Spa,1: 175,,1811,6772
Alisma lanceolatum,995,0920    62,N,,kew-294813,A,Alismataceae,,Alisma,,,,With.,Accepted,,H,WCSP,294813,1047073-2,Bot. Arr. Brit. Pl. ed. 3,2: 362,,1796,6774
Alisma plantago-aquatica,997,0920    63,N,,kew-294841,A,Alismataceae,,Alisma,,,,L.,Accepted,,H,WCSP,294841,30019518-2,Sp. Pl.,342,,1753,6776
Alliaria petiolata,7016,0920    64,N,,kew-2628680,A,Brassicaceae,,Alliaria,,,,(M.Bieb.) Cavara & Grande,Accepted,,M,WCSP (in review),760993,1176324-2,Bull. Orto Bot. Regia Univ. Napoli,3: 418,,1913,46543
Allium ampeloprasum,11485,0920  8283,AR,,kew-294972,A,Amaryllidaceae,,Allium,,,,L.,Accepted,,H,WCSP,294972,332079-2,Sp. Pl.,294,,1753,9278
Allium carinatum,1002,0920    67,AN,,kew-295243,A,Amaryllidaceae,,Allium,,,,L.,Accepted,,H,WCSP,295243,527777-1,Sp. Pl.,297,,1753,9388
Allium oleraceum,1003,0920    68,N,,kew-296142,A,Amaryllidaceae,,Allium,,,,L.,Accepted,,H,WCSP,296142,528525-1,Sp. Pl.,299,,1753,9818
Allium paradoxum,1004,0920    69,AN,,kew-296228,A,Amaryllidaceae,,Allium,,,,(M.Bieb.) G.Don,Accepted,,H,WCSP,296228,528578-1,Mem. Wern. Nat. Hist. Soc.,6: 72,,1827,9850
Allium roseum,7017,0920    70,AN,,kew-296421,A,Amaryllidaceae,,Allium,,,,L.,Accepted,,H,WCSP,296421,528746-1,Sp. Pl.,296,,1753,9942
Allium schoenoprasum,1005,0920    72,N,,kew-296525,A,Amaryllidaceae,,Allium,,,,L.,Accepted,,H,WCSP,296525,528823-1,Sp. Pl.,301,,1753,9981
Allium scorodoprasum,1006,0920    71,N,,kew-296553,A,Amaryllidaceae,,Allium,,,,L.,Accepted,,H,WCSP,296553,528834-1,Sp. Pl.,297,,1753,9986
Allium sphaerocephalon,1007,0920    73,NA,,kew-296631,A,Amaryllidaceae,,Allium,,,,L.,Accepted,,H,WCSP,296631,528894-1,Sp. Pl.,297,,1753,10021
Allium triquetrum,1008,0920    74,AN,,kew-296839,A,Amaryllidaceae,,Allium,,,,L.,Accepted,,H,WCSP,296839,529047-1,Sp. Pl.,300,,1753,10099
Allium ursinum,1009,0920    75,N,,kew-296893,A,Amaryllidaceae,,Allium,,,,L.,Accepted,,H,WCSP,296893,529088-1,Sp. Pl.,300,,1753,10122
Allium vineale,1010,0920    76,N,,kew-296924,A,Amaryllidaceae,,Allium,,,,L.,Accepted,,H,WCSP,296924,529111-1,Sp. Pl.,299,,1753,10135
Alnus cordata,1013,0920  2406,AN,,kew-6294,A,Betulaceae,,Alnus,,,,(Loisel.) Duby,Accepted,,H,WCSP,6294,294902-1,Bot. Gall.,1: 423,,1828,41296
Alnus glutinosa,1014,0920    77,N,,kew-6364,A,Betulaceae,,Alnus,,,,(L.) Gaertn.,Accepted,,H,WCSP,6364,30036759-2,Fruct. Sem. Pl.,2: 54,,1790,41304
Alnus incana,1016,0920    78,AN,,kew-6417,A,Betulaceae,,Alnus,,,,(L.) Moench,Accepted,,H,WCSP,6417,30106706-2,Methodus,424,,1794,41311
Alopecurus aequalis,7018,0920    79,N,,kew-391253,A,Poaceae,,Alopecurus,,,,Sobol.,Accepted,,H,WCSP,391253,387005-1,Fl. Petrop.,16,,1799,271739
Alopecurus borealis,6874,0920    80,N,,,,,,,,,,,,,,,,,,,,,
Alopecurus bulbosus,1020,0920    81,N,,kew-391348,A,Poaceae,,Alopecurus,,,,Gouan,Accepted,,H,WCSP,391348,387047-1,Hortus Monsp.,37,,1762,271753
Alopecurus geniculatus,1021,0920    82,N,,kew-391395,A,Poaceae,,Alopecurus,,,,L.,Accepted,,H,WCSP,391395,387091-1,Sp. Pl.,60,,1753,271758
Alopecurus geniculatus x pratensis (A. x brachystylus),1022,0920    83,N,H,,,,,,,,,,,,,,,,,,,,
Alopecurus myosuroides,1023,0920    84,AR,,kew-391472,A,Poaceae,,Alopecurus,,,,Huds.,Accepted,,H,WCSP,391472,387143-1,Fl. Angl.,23,,1762,271772
Alopecurus pratensis,9614,0920    85,N,,kew-391506,A,Poaceae,,Alopecurus,,,,L.,Accepted,,H,WCSP,391506,387176-1,Sp. Pl.,60,,1753,271776
Althaea hirsuta,1027,0920    86,AN,,kew-2631545,A,Malvaceae,,Althaea,,,,L.,Accepted,,M,WCSP (in review),763701,558818-1,Sp. Pl.,687,,1753,203890
Althaea officinalis,7019,0920    87,N,,kew-2631597,A,Malvaceae,,Althaea,,,,L.,Accepted,,M,WCSP (in review),763753,558872-1,Sp. Pl.,686,,1753,203896
Alyssum alyssoides,1029,0920    89,AN,,kew-2631899,A,Brassicaceae,,Alyssum,,,,(L.) L.,Accepted,,M,WCSP (in review),764054,277314-1,Syst. Nat. ed. 10,2: 1130,,1759,46552
Alyssum saxatile,1030,0920  4357,AN,,,,,,,,,,,,,,,,,,,,,
Amaranthus albus,1031,0920    90,AN,,kew-2632650,A,Amaranthaceae,,Amaranthus,,,,L.,Accepted,,M,WCSP (in review),764805,327388-2,Syst. Nat. ed. 10,2: 1268,,1759,7371
Amaranthus hybridus,1037,0920    91,AN,,kew-2632871,A,Amaranthaceae,,Amaranthus,,,,L.,Accepted,,M,WCSP (in review),765024,10648-2,Sp. Pl.,990,,1753,7417
Amaranthus retroflexus,1038,0920    92,AN,,kew-2633061,A,Amaranthaceae,,Amaranthus,,,,L.,Accepted,,M,WCSP (in review),765214,10698-2,Sp. Pl.,991,,1753,7445
Ambrosia artemisiifolia,1040,0920    93,AN,,gcc-20460,A,Compositae,,Ambrosia,,,,L.,Accepted,,M,TICA,5717C1D3-5B5F-4298-95E3-25D4AFE147CE,176058-1,Sp. Pl.,,988,1753,73349
Ambrosia trifida,11136,0920  7943,AC,,gcc-7636,A,Compositae,,Ambrosia,,,,L.,Accepted,,M,TICA,A2275973-D61B-486C-9905-0E305DA158A6,315739-2,Sp. Pl.: 987 (1753),,987,1753,73393
Amelanchier lamarckii,1044,0920    94,AN,,rjp-53,A,Rosaceae,,Amelanchier,,,,F.G.Schroed.,Accepted,,H,RJP,53,721221-1,,; 1968,633,1968,303821
Ammi majus,1045,0920    95,AN,,kew-2633874,A,Apiaceae,,Ammi,,,,L.,Accepted,,M,WCSP (in review),766014,837486-1,Sp. Pl.,243,,1753,15961
Ammophila arenaria,1046,0920    97,N,,kew-391622,A,Poaceae,,Ammophila,,,,(L.) Link,Accepted,,H,WCSP,391622,1141132-2,Hort. Berol.,1: 105,,1827,271795
Amsinckia micrantha,1049,0920  2616,AN,,,,,,,,,,,,,,,,,,,,,
Anacamptis pyramidalis,1051,0920    98,N,,kew-8593,A,Orchidaceae,,Anacamptis,,,,(L.) Rich.,Accepted,,H,WCSP,8593,615773-1,De Orchid. Eur.,33,,1817,227960
Anagallis arvensis,1053,0920    99,N,,kew-2636008,A,Primulaceae,,Anagallis,,,,L.,Accepted,,L,WCSP (in review),768144,329604-2,Sp. Pl.,148,,1753,292338
Anagallis minima,1061,0920   456,N,,kew-2636089,A,Primulaceae,,Anagallis,,,,(L.) E.H.L.Krause,Accepted,,L,WCSP (in review),768225,700103-1,Deutschl. Fl.,"ed. 2, 9: 251",,1901,292352
Anagallis tenella,1062,0920   100,N,,kew-2636145,A,Primulaceae,,Anagallis,,,,(L.) L.,Accepted,,M,WCSP (in review),768280,,Syst. Veg. ed. 13,165,,1774,292364
Anaphalis margaritacea,1064,0920   101,AN,,gcc-48987,A,Compositae,,Anaphalis,,,,(L.) Benth. & Hook.f.,Accepted,,M,TICA,2691E611-C806-45B1-AE74-5ABB79A0009A,30173179-2,Gen. Pl. 2: 303 (1873),,303,1873,73512
Anchusa arvensis,1065,0920  1218,AR,,kew-2636464,A,Boraginaceae,,Anchusa,,,,(L.) M.Bieb.,Accepted,,M,WCSP (in review),768591,113196-1,Fl. Taur.-Caucas.,1: 123,,1808,42761
Anchusa azurea,10185,0920  7155,AN,,kew-2636472,A,Boraginaceae,,Anchusa,,,,Mill.,Accepted,,M,WCSP (in review),768599,113203-1,Gard. Dict. ed. 8,9,,1768,42763
Anchusa officinalis,1066,0920   102,AN,,kew-2636606,A,Boraginaceae,,Anchusa,,,,L.,Accepted,,M,WCSP (in review),768733,113312-1,Sp. Pl.,133,,1753,42783
Andromeda polifolia,1067,0920   103,N,,kew-2637263,A,Ericaceae,,Andromeda,,,,L.,Accepted,,M,WCSP (in review),769388,30021967-2,Sp. Pl.,393,,1753,125629
Anemone apennina,1068,0920   104,AN,,kew-2638025,A,Ranunculaceae,,Anemone,,,,L.,Accepted,,M,WCSP (in review),770146,708236-1,Sp. Pl.,541,,1753,299199
Anemone blanda,11139,0920  7946,AN,,kew-2638070,A,Ranunculaceae,,Anemone,,,,Schott & Kotschy,Accepted,,M,WCSP (in review),770191,708267-1,Oesterr. Bot. Wochenbl.,4: 129,,1854,299207
Anemone hupehensis x vitifolia (A. x hybrida),10824,0920  7158,AN,H,,,,,,,,,,,,,,,,,,,,
Anemone nemorosa,1069,0920   105,N,,kew-2638482,A,Ranunculaceae,,Anemone,,,,L.,Accepted,,M,WCSP (in review),770598,13472-2,Sp. Pl.,541,,1753,299277
Anemone ranunculoides,1071,0920   107,AN,,kew-2638630,A,Ranunculaceae,,Anemone,,,,L.,Accepted,,M,WCSP (in review),770746,13507-2,Sp. Pl.,541,,1753,299302
Anethum graveolens,11140,0920  7947,AC,,kew-2638934,A,Apiaceae,,Anethum,,,,L.,Accepted,,M,WCSP (in review),771041,837530-1,Sp. Pl.,263,,1753,15978
Angelica archangelica,1072,0920   108,AN,,kew-2638995,A,Apiaceae,,Angelica,,,,L.,Accepted,,M,WCSP (in review),771100,837560-1,Sp. Pl.,250,,1753,15988
Angelica sylvestris,1073,0920   109,N,,kew-2639281,A,Apiaceae,,Angelica,,,,L.,Accepted,,M,WCSP (in review),771386,837777-1,Sp. Pl.,251,,1753,16080
Anisantha diandra,6783,0920   110,AN,,,,,,,,,,,,,,,,,,,,,
Anisantha madritensis,6784,0920   111,AN,,,,,,,,,,,,,,,,,,,,,
Anisantha rigida,6785,0920   112,AN,,,,,,,,,,,,,,,,,,,,,
Anisantha sterilis,6786,0920   113,AR,,,,,,,,,,,,,,,,,,,,,
Anisantha tectorum,6787,0920   114,AN,,,,,,,,,,,,,,,,,,,,,
Antennaria dioica,1076,0920   116,N,,gcc-134033,A,Compositae,,Antennaria,,,,(L.) Gaertn.,Accepted,,M,TICA,0C965A22-EADF-4595-B88E-E6EB707DD60E,,,,410,1791,73727
Anthemis arvensis,1077,0920   117,AR,,gcc-110396,A,Compositae,,Anthemis,,,,L.,Accepted,,M,TICA,BA1F5288-81C2-4523-94E5-B0C79C6AC447,177158-1,Sp. Pl.: 894 (1753),,894,1753,73791
Anthemis cotula,1078,0920   118,AR,,gcc-131879,A,Compositae,,Anthemis,,,,L.,Accepted,,M,TICA,C2094573-91D0-4FCD-A6BE-E1FA3DBCF969,177259-1,Sp. Pl.: 894 (1753),,894,1753,73817
Anthemis tinctoria,1081,0920   120,AN,,,,,,,,,,,,,,,,,,,,,
Anthoxanthum aristatum,1082,0920   122,AN,,kew-393944,A,Poaceae,,Anthoxanthum,,,,Boiss.,Accepted,,H,WCSP,393944,,Voy. Bot. Espagne,2: 638,,1844,271988
Anthoxanthum odoratum,1083,0920   121,N,,kew-394021,A,Poaceae,,Anthoxanthum,,,,L.,Accepted,,H,WCSP,394021,389034-1,Sp. Pl.,28,,1753,271998
Anthriscus caucalis,1085,0920   123,N,,kew-2641805,A,Apiaceae,,Anthriscus,,,,M.Bieb.,Accepted,,M,WCSP (in review),773909,837912-1,Fl. Taur.-Caucas.,1: 230,,1808,16148
Anthriscus cerefolium,1086,0920   124,AN,,kew-2641808,A,Apiaceae,,Anthriscus,,,,(L.) Hoffm.,Accepted,,M,WCSP (in review),773912,837913-1,Gen. Pl. Umbell.,41,,1814,16149
Anthriscus sylvestris,1088,0920   125,N,,kew-2641868,A,Apiaceae,,Anthriscus,,,,(L.) Hoffm.,Accepted,,M,WCSP (in review),773972,837969-1,Gen. Pl. Umbell.,40,,1814,16159
Anthyllis vulneraria,1089,0920   126,N,,ild-7194,A,Leguminosae,,Anthyllis,,,,L.,Accepted,,H,ILDIS,7194,,,,,,171854
Antirrhinum majus,1098,0920   127,AN,,kew-2642724,A,Plantaginaceae,,Antirrhinum,,,,L.,Accepted,,M,WCSP (in review),774821,799180-1,Sp. Pl.,617,,1753,269162
Apera interrupta,1100,0920   129,AN,,kew-394110,A,Poaceae,,Apera,,,,(L.) P.Beauv.,Accepted,,H,WCSP,394110,389070-1,Ess. Agrostogr.,31,,1812,272007
Apera spica-venti,1101,0920   130,AR,,kew-394118,A,Poaceae,,Apera,,,,(L.) P.Beauv.,Accepted,,H,WCSP,394118,130738-3,Ess. Agrostogr.,31,,1812,272008
Aphanes arvensis,7455,0920   132,N,,rjp-34,A,Rosaceae,,Aphanes,,,,L.,Accepted,,L,RJP,34,721514-1,"Species plantarum, edition 1","Species plantarum, edition 1; 1753",123,1753,303836
Aphanes australis,63030,0920   133,N,,rjp-4778,A,Rosaceae,,Aphanes,,,,Rydb.,Accepted,,H,RJP,4778,,North American Flora [Rosaceae],North American Flora [Rosaceae]; 1908,380,1908,303837
Apium graveolens,1105,0920   134,N,,kew-2644053,A,Apiaceae,,Apium,,,,L.,Accepted,,L,WCSP (in review),776133,838067-1,Sp. Pl.,264,,1753,16176
Apium inundatum,1106,0920   135,N,,kew-2644069,A,Apiaceae,,Apium,,,,(L.) Rchb.f.,Accepted,,M,WCSP (in review),776149,838075-1,Icon. Fl. Germ. Helv.,21: 9,,1863,16178
Apium inundatum x nodiflorum (A. x moorei),9616,0920   136,N,H,,,,,,,,,,,,,,,,,,,,
Apium nodiflorum,1107,0920   137,N,,kew-2644101,A,Apiaceae,,Apium,,,,(L.) Lag.,Accepted,,M,WCSP (in review),776181,77103591-1,Amen. Nat. Españ.,1(2): 101,,1821,16181
Apium repens,1108,0920   138,N,,kew-2644130,A,Apiaceae,,Apium,,,,(Jacq.) Lag.,Accepted,,M,WCSP (in review),776210,60454919-2,Amen. Nat. Españ.,1(2): 101,,1821,16184
Aponogeton distachyos,1110,0920   139,AN,,kew-299949,A,Aponogetonaceae,,Aponogeton,,,,L.f.,Accepted,,H,WCSP,299949,60445154-2,Suppl. Pl.,215,,1782,24619
Aquilegia vulgaris,1113,0920   141,N,,kew-2645045,A,Ranunculaceae,,Aquilegia,,,,L.,Accepted,,M,WCSP (in review),777117,306409-2,Sp. Pl.,533,,1753,299465
Arabidopsis thaliana,7021,0920   142,N,,kew-2645262,A,Brassicaceae,,Arabidopsis,,,,(L.) Heynh.,Accepted,,M,WCSP (in review),777331,277970-1,Fl. Sachsen,538,,1842,46794
Arabis alpina,1114,0920   143,N,,kew-2645295,A,Brassicaceae,,Arabis,,,,L.,Accepted,,M,WCSP (in review),777364,277992-1,Sp. Pl.,664,,1753,46800
Arabis caucasica,1116,0920   145,AN,,kew-2645447,A,Brassicaceae,,Arabis,,,,Willd.,Accepted,,M,WCSP (in review),777516,278095-1,Enum. Pl.,Suppl.: 45,,1814,46817
Arabis glabra,1117,0920  2108,N,,,,,,,,,,,,,,,,,,,,,
Arabis hirsuta,1118,0920   146,N,,kew-2645681,A,Brassicaceae,,Arabis,,,,(L.) Scop.,Accepted,,M,WCSP (in review),777750,278269-1,Fl. Carniol.,"ed. 2, 2: 30",,1772,46844
Arabis petraea,6857,0920   332,N,,,,,,,,,,,,,,,,,,,,,
Arabis scabra,1119,0920   147,N,,kew-2646184,A,Brassicaceae,,Arabis,,,,All.,Accepted,,M,WCSP (in review),778251,278599-1,Fl. Pedem.,1: 268,,1785,46885
Araucaria araucana,1122,0920  2975,AN,,kew-14339,G,Araucariaceae,,Araucaria,,,,(Molina) K.Koch,Accepted,,H,WCSP,14339,261681-1,Dendrologie,2(2): 206,,1873,30060
Arbutus unedo,1123,0920   149,N,,kew-2646748,A,Ericaceae,,Arbutus,,,,L.,Accepted,,M,WCSP (in review),778815,326526-1,Sp. Pl.,395,,1753,125667
Arctium lappa,7022,0920   151,AR,,gcc-52146,A,Compositae,,Arctium,,,,L.,Accepted,,M,TICA,064F5669-8F83-4377-AE71-60BABA4EB805,178385-1,Sp. Pl.,,816,1753,74070
Arctium minus,1125,0920  2405,N,,gcc-3683,A,Compositae,,Arctium,,,,(Hill) Bernh.,Accepted,,M,TICA,CA0C12E3-C562-49C0-8CFB-06D34ADB854F,178406-1,Syst. Verz. 154 (1800),,154,1800,74072
Arctostaphylos alpinus,7023,0920   156,N,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos uva-ursi,1132,0920   155,N,,kew-2647407,A,Ericaceae,,Arctostaphylos,,,,(L.) Spreng.,Accepted,,M,WCSP (in review),779472,1024084-2,Syst. Veg.,2: 287,,1825,125745
Arenaria balearica,1134,0920   157,AN,,kew-2649106,A,Caryophyllaceae,,Arenaria,,,,L.,Accepted,,M,WCSP (in review),781169,150988-1,Syst. Nat. ed. 12,3(App.): 230,,1767,64514
