NAME,TAXONNO,TAXON,NATIVE,HYBRID,ID,Major_group,Family,Genus_hybrid_marker,Genus,Species_hybrid_marker,Infraspecific_rank,Infraspecific_epithet,Authorship,Taxonomic_status_in_TPL,Nomenclatural_status_original,Confidence_level,Source,Source_id,IPNI_id,Publication,Collation,Page,Date,SppID
Mercurialis perennis,3320,0920  1291,N,,kew-125768,A,Euphorbiaceae,,Mercurialis,,,,L.,Accepted,,H,WCSP,125768,352211-1,Sp. Pl.,1037,,1753,136334
Mertensia maritima,3321,0920  1292,N,,kew-2357688,A,Boraginaceae,,Mertensia,,,,(L.) Gray,Accepted,,M,WCSP (in review),496988,118618-1,Nat. Arr. Brit. Pl.,2: 354,,1821,44410
Mespilus germanica,3322,0920  1293,AR,,rjp-51,A,Rosaceae,,Mespilus,,,,L.,Accepted,,L,RJP,51,726564-1,"Species plantarum, edition 1","Species plantarum, edition 1; 1753",478,1753,304874
Meum athamanticum,3323,0920  1294,N,,kew-2365193,A,Apiaceae,,Meum,,,,Jacq.,Accepted,,M,WCSP (in review),504475,844931-1,Fl. Austriac.,4: 2,,1776,18067
Mibora minima,3324,0920  1295,N,,kew-424200,A,Poaceae,,Mibora,,,,(L.) Desv.,Accepted,,H,WCSP,424200,1122217-2,Fl. Anjou,46,,1827,278174
Milium effusum,3325,0920  1296,N,,kew-424434,A,Poaceae,,Milium,,,,L.,Accepted,,H,WCSP,424434,408599-1,Sp. Pl.,61,,1753,278225
Mimulus guttatus,3332,0920  4328,AN,,kew-2506223,A,Phrymaceae,,Mimulus,,,,DC.,Accepted,,M,WCSP (in review),642694,162201-2,Cat. Hort. Monsp.,127,,1813,262461
Mimulus luteus,3335,0920  1299,AN,,kew-2506233,A,Phrymaceae,,Mimulus,,,,L.,Accepted,,M,WCSP (in review),642704,805999-1,Sp. Pl. ed. 2,884,,1763,262481
Mimulus moschatus,3338,0920  1300,AN,,kew-2506174,A,Phrymaceae,,Mimulus,,,,Douglas ex Lindl.,Accepted,,M,WCSP (in review),642645,,Bot. Reg.,13: t. 1118,,1828,262496
Minuartia hybrida,3339,0920  1303,N,,kew-2369526,A,Caryophyllaceae,,Minuartia,,,,(Vill.) Schischk.,Accepted,,M,WCSP (in review),508782,155544-1,Fl. URSS,6: 488,,1936,65832
Minuartia rubella,3341,0920  1301,N,,kew-2369666,A,Caryophyllaceae,,Minuartia,,,,(Wahlenb.) Hiern,Accepted,,M,WCSP (in review),508921,1065861-2,J. Bot.,37: 320,,1899,65868
Minuartia sedoides,3342,0920   501,N,,kew-2369677,A,Caryophyllaceae,,Minuartia,,,,(L.) Hiern,Accepted,,L,WCSP (in review),508931,155656-1,J. Bot.,37: 321,,1899,65873
Minuartia stricta,3343,0920  1302,N,,kew-2369672,A,Caryophyllaceae,,Minuartia,,,,(Sw.) Hiern,Accepted,,M,WCSP (in review),508926,162520-2,J. Bot.,37: 320,,1899,65877
Minuartia verna,3345,0920  1304,N,,kew-2369324,A,Caryophyllaceae,,Minuartia,,,,(L.) Hiern,Accepted,,M,WCSP (in review),508585,162524-2,J. Bot.,37: 320,,1899,65884
Misopates orontium,7224,0920   128,AR,,kew-2506761,A,Plantaginaceae,,Misopates,,,,(L.) Raf.,Accepted,,M,WCSP (in review),643232,806149-1,Autik. Bot.,158,,1840,269795
Moehringia trinervia,3346,0920  1305,N,,kew-2369298,A,Caryophyllaceae,,Moehringia,,,,(L.) Clairv.,Accepted,,M,WCSP (in review),508560,155772-1,Man. Herbor. Suisse,150,,1811,65918
Moenchia erecta,3347,0920  1306,N,,kew-2369380,A,Caryophyllaceae,,Moenchia,,,,"(L.) P.Gaertn., B.Mey. & Scherb.",Accepted,,M,WCSP (in review),508637,155781-1,Oekon. Fl. Wetterau,1: 219,,1799,65921
Molinia caerulea,3348,0920  1307,N,,kew-424761,A,Poaceae,,Molinia,,,,(L.) Moench,Accepted,,L,WCSP,424761,408809-1,Methodus,183,,1794,278249
Moneses uniflora,3351,0920  1308,N,,kew-2372127,A,Ericaceae,,Moneses,,,,A.Gray,Accepted,,M,WCSP (in review),511124,331307-1,Manual,273,,1848,127675
Monotropa hypopitys,3354,0920  1310,N,,kew-2372112,A,Ericaceae,,Monotropa,,,,L.,Accepted,,M,WCSP (in review),511109,163883-2,Sp. Pl.,387,,1753,127676
Montia fontana,7225,0920  1312,N,,kew-2508965,A,Montiaceae,,Montia,,,,L.,Accepted,,M,WCSP (in review),645346,311155-2,Sp. Pl.,87,,1753,215716
Muscari armeniacum,3366,0920  4338,AN,,kew-281679,A,Asparagaceae,,Muscari,,,,Leichtlin ex Baker,Accepted,,H,WCSP,281679,,Gard. Chron.,"n.s., 9: 798",,1878,35426
Muscari comosum,3369,0920  1314,AN,,,,,,,,,,,,,,,,,,,,,
Muscari neglectum,7226,0920  1313,NA,,kew-281750,A,Asparagaceae,,Muscari,,,,Guss. ex Ten.,Accepted,,H,WCSP,281750,538560-1,Syll. Pl. Fl. Neapol.,App. 5: 13,,1842,35452
Mycelis muralis,3372,0920  1315,N,,,,,,,,,,,,,,,,,,,,,
Myosotis alpestris,3373,0920  1316,N,,kew-2357465,A,Boraginaceae,,Myosotis,,,,F.W.Schmidt,Accepted,,M,WCSP (in review),496767,118892-1,Fl. Boëm.,3: 26,,1794,44483
Myosotis arvensis,3374,0920  1317,AR,,kew-2357149,A,Boraginaceae,,Myosotis,,,,(L.) Hill,Accepted,,M,WCSP (in review),496451,118914-1,Veg. Syst.,7: 55,,1764,44487
Myosotis discolor,3380,0920  1321,N,,kew-2357600,A,Boraginaceae,,Myosotis,,,,Pers.,Accepted,,M,WCSP (in review),496902,,Syst. Veg. ed. 15,190,,1798,44499
Myosotis laxa,3382,0920  1319,N,,kew-2358174,A,Boraginaceae,,Myosotis,,,,Lehm.,Accepted,,M,WCSP (in review),497471,119082-1,Pl. Asperif. Nucif.,83,,1818,44509
